uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#Ingest.optaa-dj-dcl_recovered,mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl27/optaa1/*.optaa*.log,CE07SHSM-RID27-01-OPTAAD000,recovered_host,Missing,
#Ingest.flort-dj-dcl_recovered,mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl27/flort/*.flort.log,CE07SHSM-RID27-02-FLORTD000,recovered_host,Missing,
#Ingest.ctdbp-cdef-dcl_recovered,mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl27/ctdbp1/*.ctdbp*.log,CE07SHSM-RID27-03-CTDBPC000,recovered_host,Missing,
#Ingest.ctdbp-cdef_recovered,mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl27/CTDBP_*/*ctdbp*.hex,CE07SHSM-RID27-03-CTDBPC000,recovered_inst,Missing,
#Ingest.dosta-abcdjm-dcl_recovered,mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl27/dosta/*.dosta.log,CE07SHSM-RID27-04-DOSTAD000,recovered_host,Missing,
#,,,CE07SHSM-RID27-04-DOSTAD000,recovered_inst,Missing,missing instrument recovered data - no driver/ parser
#Ingest.cg-cpm-eng-cpm_recovered,mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/irid2shore/cpm_status*.txt,CE07SHSM-SBC11-00-CPMENG000,recovered_host,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl11/syslog/*.syslog.log,CE07SHSM-SBD11-00-DCLENG000,recovered_host,Missing,
##Ingest.mopak-o-dcl_recovered,mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl11/mopak/*.mopak.log,CE07SHSM-SBD11-01-MOPAK0000,recovered_host,Missing,Temporarily disabled for mass ingestions
#Ingest.hyd-o-dcl_recovered,mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl11/hyd1/*.hyd1.log,CE07SHSM-SBD11-02-HYDGN0000,recovered_host,Missing,
#Ingest.velpt-ab-dcl_recovered,mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl11/velpt1/*.velpt1.log,CE07SHSM-SBD11-04-VELPTA000,recovered_host,Missing,
#Ingest.velpt-ab_recovered,mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl11/VELPT_*/*velpt*.aqd,CE07SHSM-SBD11-04-VELPTA000,recovered_inst,Missing,
#Ingest.metbk-a-dcl_recovered,mi.dataset.driver.metbk_a.dcl.metbk_a_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl11/metbk/*.metbk.log,CE07SHSM-SBD11-06-METBKA000,recovered_host,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl12/syslog/*.syslog.log,CE07SHSM-SBD12-00-DCLENG000,recovered_host,Missing,
#Ingest.hyd-o-dcl_recovered,mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl12/hyd2/*.hyd2.log,CE07SHSM-SBD12-03-HYDGN0000,recovered_host,Missing,
#Ingest.pco2a-a-dcl_recovered,mi.dataset.driver.pco2a_a.dcl.pco2a_a_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl12/pco2a/*.pco2a.log,CE07SHSM-SBD12-04-PCO2AA000,recovered_host,Missing,
#Ingest.wavss-a-dcl-full_recovered,mi.dataset.driver.wavss_a.dcl.wavss_a_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl12/wavss/*.wavss.log,CE07SHSM-SBD12-05-WAVSSA000,recovered_host,Missing,
#,,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl11/MOPAK_*/,CE07SHSM-SBD11-01-MOPAK0000,recovered_inst,Not Expected,Instrument does not record internally.
# ,,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl12/PCO2A_*/*pco2a*.log,CE07SHSM-SBD12-04-PCO2AA000,recovered_inst,Missing, No parser exists for this data_source
# ,,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl12/WAVSS_*/,CE07SHSM-SBD12-05-WAVSSA000,recovered_inst,Missing,
#,,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl37/ZPLSC_*/*zplsc*/*/*.01A,CE07SHSM-MFD37-07-ZPLSCC000,recovered_inst,Missing,No parser exists for this data file.
#,,,CE07SHSM-MFD37-06-CAMDSA000,recovered_host,Not Expected,Instrument not connected to DCL
#,,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl37/CAMDS_*/*camds*/dcim/*.png,CE07SHSM-MFD37-06-CAMDSA000,recovered_inst,Missing,
