uframe_route,filename_mask,reference_designator,data_source,status,notes
# Ingest.zplsc-c-dcl_telemetered,,CP01CNSM-MFD37-07-ZPLSCC000,telemetered,Not Deployed,Not deployed
Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/cpm2/syslog/cpm_status.txt,CP01CNSM-RIC21-00-CPMENG000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl26/syslog/*.syslog.log,CP01CNSM-RID26-00-DCLENG000,telemetered,Available,
Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl26/velpt1/*.velpt*.log,CP01CNSM-RID26-04-VELPTA000,telemetered,Available,
Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl26/phsen1/*.phsen*.log,CP01CNSM-RID26-06-PHSEND000,telemetered,Available,
Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl26/nutnr/*.nutnr.log,CP01CNSM-RID26-07-NUTNRB000,telemetered,Available,
Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl26/spkir/*.spkir.log,CP01CNSM-RID26-08-SPKIRB000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl27/syslog/*.syslog.log,CP01CNSM-RID27-00-DCLENG000,telemetered,Available,
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl27/optaa1/*.optaa*.log,CP01CNSM-RID27-01-OPTAAD000,telemetered,Available,
Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl27/flort/*.flort.log,CP01CNSM-RID27-02-FLORTD000,telemetered,Available,
Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl27/ctdbp1/*.ctdbp*.log,CP01CNSM-RID27-03-CTDBPC000,telemetered,Available,
Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl27/dosta1/*.dosta*.log,CP01CNSM-RID27-04-DOSTAD000,telemetered,Available,
Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/irid2shore/cpm_status*.txt,CP01CNSM-SBC11-00-CPMENG000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl11/syslog/*.syslog.log,CP01CNSM-SBD11-00-DCLENG000,telemetered,Available,
#Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl11/mopak/*.mopak.log,CP01CNSM-SBD11-01-MOPAK0000,telemetered,Available,Temporarily disabled for mass ingestions
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl11/hyd1/*.hyd1.log,CP01CNSM-SBD11-02-HYDGN0000,telemetered,Available,
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl11/metbk1/*.metbk*.log,CP01CNSM-SBD11-06-METBKA000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/syslog/*.syslog.log,CP01CNSM-SBD12-00-DCLENG000,telemetered,Available,
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/hyd2/*.hyd2.log,CP01CNSM-SBD12-03-HYDGN0000,telemetered,Available,
Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/pco2a/*.pco2a.log,CP01CNSM-SBD12-04-PCO2AA000,telemetered,Available,
Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/wavss/*.wavss.log,CP01CNSM-SBD12-05-WAVSSA000,telemetered,Available,
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/metbk2/*.metbk*.log,CP01CNSM-SBD12-06-METBKA000,telemetered,Available,
Ingest.fdchp-a-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl12/fdchp/*.fdchp.log,CP01CNSM-SBD12-08-FDCHPA000,telemetered,Available,
